Date,Open,High,Low,Close,Volume
20171123,111.213,111.378,111.069,111.21,106113.630306
20171124,111.202,111.623,111.193,111.502,125643.550172
20171127,111.502,111.692,110.841,111.092,156298.640117
20171128,111.086,111.638,110.93,111.477,186037.119979
20171129,111.477,112.148,111.368,111.927,186562.270225
20171130,111.921,112.639,111.735,112.532,176720.949901
20171201,112.527,112.873,111.408,112.176,232033.670262
20171204,112.76,113.089,112.364,112.413,212740.02014
20171205,112.407,112.865,112.378,112.573,172289.160344
20171206,112.576,112.63,111.993,112.288,194444.350374
20171207,112.289,113.158,112.218,113.082,167940.740246
20171208,113.08,113.589,113.076,113.461,138766.750233
20171211,113.52,113.688,113.242,113.553,132558.830283
20171212,113.559,113.75,113.37,113.543,114995.210062
20171213,113.541,113.574,112.459,112.537,154730.450141
20171214,112.532,112.88,112.066,112.381,152118.790166
20171215,112.38,112.742,112.03,112.585,151418.740086
20171218,112.725,112.829,112.309,112.538,146702.930033
20171219,112.535,113.078,112.511,112.883,127660.479967
20171220,112.883,113.465,112.838,113.39,129631.97998
20171221,113.388,113.635,113.199,113.326,118985.100053
20171226,113.326,113.448,113.119,113.227,192677.039905
20171227,113.226,113.379,113.147,113.347,120244.640216
20171228,113.346,113.348,112.664,112.866,110025.730084
20171229,112.866,112.969,112.472,112.658,114865.770069
