date,month,day,week,weekday,highLow,openClose,volume
20171127,11,27,5,0,0.851,-0.41,156298.640117
20171128,11,28,5,1,0.708,0.391,186037.119979
20171129,11,29,5,2,0.78,0.45,186562.270225
20171130,11,30,5,3,0.904,0.611,176720.949901
20171201,12,1,1,4,1.465,-0.351,232033.670262
20171204,12,4,1,0,0.725,-0.347,212740.02014
20171205,12,5,1,1,0.487,0.166,172289.160344
20171206,12,6,1,2,0.637,-0.288,194444.350374
20171207,12,7,1,3,0.94,0.793,167940.740246
20171208,12,8,1,4,0.513,0.381,138766.750233
20171211,12,11,2,0,0.446,0.033,132558.830283
20171212,12,12,2,1,0.38,-0.016,114995.210062
20171213,12,13,2,2,1.115,-1.004,154730.450141
20171214,12,14,2,3,0.814,-0.151,152118.790166
20171215,12,15,2,4,0.712,0.205,151418.740086
20171218,12,18,3,0,0.52,-0.187,146702.930033
20171219,12,19,3,1,0.567,0.348,127660.479967
20171220,12,20,3,2,0.627,0.507,129631.97998
20171221,12,21,3,3,0.436,-0.062,118985.100053
20171226,12,26,4,1,0.329,-0.099,192677.039905
20171227,12,27,4,2,0.232,0.121,120244.640216
20171228,12,28,4,3,0.684,-0.48,110025.730084
20171229,12,29,4,4,0.497,-0.208,114865.770069
