date,month,day,week,weekday,res
20171110,11,10,2.7142857142857144,4,146325.89979487658
20171113,11,13,3.142857142857143,0,124192.5301630199
20171114,11,14,3.2857142857142856,1,134385.59998578578
20171116,11,16,3.5714285714285716,3,324795.2801072672
20171117,11,17,3.7142857142857144,4,161483.03019568327
20171120,11,20,4.142857142857143,0,164096.92014000565
20171121,11,21,4.285714285714286,1,145348.49010047314
20171122,11,22,4.428571428571429,2,153396.07021770626
20171123,11,23,4.571428571428571,3,106113.63030648233
20171124,11,24,4.714285714285714,4,125643.55017236619
20171127,11,27,5.142857142857143,0,156298.64011655748
20171128,11,28,5.285714285714286,1,186037.11997862905
20171129,11,29,5.428571428571429,2,186562.27022549513
20171130,11,30,5.571428571428571,3,176720.94990145415
20171201,12,1,1.4285714285714286,4,232033.6702617407
20171204,12,4,1.1428571428571428,0,212740.02013983575
20171205,12,5,1.2857142857142858,1,172289.16034446654
20171206,12,6,1.4285714285714286,2,194444.35037442297
20171207,12,7,1.5714285714285714,3,167940.74024584144
20171208,12,8,1.7142857142857142,4,138766.75023270398
20171211,12,11,2.142857142857143,0,132558.83028344065
20171212,12,12,2.2857142857142856,1,114995.2100616619
20171213,12,13,2.4285714285714284,2,154730.45014111698
20171214,12,14,2.5714285714285716,3,152118.7901660502
20171215,12,15,2.7142857142857144,4,151418.7400856316
20171218,12,18,3.142857142857143,0,146702.93003281948
20171219,12,19,3.2857142857142856,1,127660.47996699065
20171220,12,20,3.4285714285714284,2,129631.9799798876
20171221,12,21,3.5714285714285716,3,118985.10005310926
20171222,12,22,3.7142857142857144,4,111599.95984596014
20171226,12,26,4.285714285714286,1,81077.08005878331
20171227,12,27,4.428571428571429,2,120244.64021550865
20171228,12,28,4.571428571428571,3,110025.73008366674
20171229,12,29,4.714285714285714,4,114865.77006947248
